Diameter (mm),Height (mm),Compressive Strength (MPa),Fiber Volume Ratio,Fiber Elastic Modulus (GPa),Fiber Tensile Strength (MPa),Fiber Thickness (mm),Number of Layers,Confinement Strength (MPa)
105,200,30.7,0.102,26,575,2.6,2,79.3
105,200,46.3,0.102,26,575,2.6,2,83.8
103,200,54.5,0.051,26,575,1.3,1,63.5
153,305,29.8,0.016,19,565,0.61,1,33.7
153,305,31.2,0.049,19,565,1.84,3,67.5
153,305,31.2,0.022,56,1800,0.83,3,63.09
152,305,18.3,0.005,76,3910,0.17,1,25.76
152,305,18.85,0.005,76,3910,0.17,1,27.87
152,305,19.3,0.009,76,3910,0.34,2,39.14
152,305,19.3,0.009,76,3910,0.34,2,35
150,300,36.3,0.008,52,583,0.3,1,46
150,300,36.3,0.032,52,583,1.2,4,79.64
150,300,36.3,0.032,52,583,1.2,4,104.94
152,305,40.2,0.054,26,610,2.03,2,71.4
150,450,31.1,0.069,21,464,2.54,2,91.9
150,450,29.6,0.069,21,464,2.54,2,89.8
150,450,31.2,0.069,21,464,2.54,2,91.9
150,300,44.7,0.008,73,2300,0.31,1,52.69
153,305,39.6,0.009,80,1826,0.34,2,54.6
153,305,39.6,0.013,81,1826,0.51,3,65.7
51,102,18,0.105,28,642,1.3,1,64
160,320,42.6,0.051,26,325,2,2,68.5
160,320,42.6,0.051,26,325,2,2,70
160,320,42.6,0.051,26,325,2,2,71.7
160,320,42.6,0.076,26,325,3,3,75.5
160,320,42.6,0.076,26,325,3,3,78.8
160,320,42.6,0.076,26,325,3,3,77.5
150,300,23.1,0.009,81,1794,0.35,1,45
153,306,44.1,0.044,18,425,1.68,2,65.5
152,305,44.1,0.06,18,425,2.24,2,80.39
152,305,44.1,0.06,18,425,2.24,2,81.13
76,305,31.8,0.012,69,1518,0.24,2,63.2
152,305,39.2,0.004,115,3732,0.17,1,61.4
152,305,39.2,0.004,115,3732,0.17,1,62.7
152,305,39.2,0.004,115,3732,0.17,1,55.8
152,305,39.2,0.009,116,3732,0.34,2,90.1
152,305,39.2,0.009,116,3732,0.34,2,88.3
152,305,39.2,0.009,116,3732,0.34,2,83.3
152,305,39,0.016,120,2900,0.6,3,87.6
150,300,43,0.106,14,230,3.86,3,71
150,300,44.7,0.076,31,602,2.8,4,136.89
150,300,36.2,0.019,31,602,0.7,1,48.15
150,300,33.3,0.057,31,602,2.1,3,103.9
150,300,54,0.038,31,602,1.4,2,84.24
70,210,51.63,0.003,118,2060,0.06,1,65.97
70,210,51.63,0.005,118,2060,0.1,2,72.63
194,582,44.92,0.003,118,2060,0.14,1,44
194,582,44.92,0.012,118,2060,0.57,4,106.03
70,210,29.37,0.005,118,2060,0.1,2,49.64
